epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,858.804,0.93122,2.00515,0.92212,0.56674,0.36428,0.42478,0.23219,0.91706,1.08245,0.96518,0.000666332,0.000666332,0.000666332
2,1679.9,0.96033,1.04044,0.93849,0.67894,0.36709,0.46103,0.26165,0.89128,0.92477,0.95488,0.00120103,0.00120103,0.00120103
3,2502.63,0.922,1.00738,0.92152,0.44718,0.33671,0.34578,0.19995,0.92427,1.34264,0.91772,0.00160373,0.00160373,0.00160373
4,3330.11,0.88558,0.90657,0.88581,0.64026,0.41003,0.46798,0.27984,0.8418,0.89557,0.90359,0.001406,0.001406,0.001406
5,4243.09,0.83228,0.8518,0.83915,0.72805,0.42025,0.51305,0.33646,0.76254,0.79587,0.84446,0.001208,0.001208,0.001208
6,5110.91,0.79947,0.81826,0.85,0.74412,0.47855,0.57662,0.3766,0.73139,0.70616,0.83756,0.00101,0.00101,0.00101
7,6001.8,0.74972,0.75138,0.82661,0.73396,0.48861,0.57603,0.3801,0.72471,0.68255,0.82527,0.000812,0.000812,0.000812
8,6851.09,0.71795,0.69254,0.83399,0.79953,0.49114,0.62363,0.42279,0.69025,0.68878,0.81756,0.000614,0.000614,0.000614
9,7671.96,0.72208,0.69162,0.83415,0.71674,0.51646,0.59786,0.4091,0.66336,0.62867,0.80598,0.000416,0.000416,0.000416
10,8508.93,0.67913,0.63378,0.77551,0.76266,0.49367,0.60675,0.42483,0.62893,0.60507,0.80975,0.000218,0.000218,0.000218
